tgl,ch
2010-01-01,250.42
2010-02-01,140.1
2010-03-01,297.41
2010-04-01,293.21
2010-05-01,233.47
2010-06-01,275.68
2010-07-01,240.31
2010-08-01,230.27
2010-09-01,273.13
2010-10-01,145.04
2010-11-01,232.59
2010-12-01,195.58
2011-01-01,323.56
2011-02-01,36.89
2011-03-01,130.2
2011-04-01,255.3
2011-05-01,148.25
2011-06-01,111.4
2011-07-01,67.17
2011-08-01,181.42
2011-09-01,229.66
2011-10-01,259.53
2011-11-01,291.11
2011-12-01,237.57
2012-01-01,116.2
2012-02-01,208.98
2012-03-01,217.32
2012-04-01,163.45
2012-05-01,218.06
2012-06-01,91.31
2012-07-01,178.59
2012-08-01,73.14
2012-09-01,189.86
2012-10-01,227.57
2012-11-01,364.59
2012-12-01,225.37
2013-01-01,119.25
2013-02-01,248.22
2013-03-01,207.15
2013-04-01,198.4
2013-05-01,142.5
2013-06-01,65.49
2013-07-01,144.96
2013-08-01,138.78
2013-09-01,175.41
2013-10-01,311.71
2013-11-01,347.31
2013-12-01,334.68
2014-01-01,144.37
2014-02-01,5.77
2014-03-01,108.56
2014-04-01,211.11
2014-05-01,205.21
2014-06-01,124.92
2014-07-01,213.9
2014-08-01,207
2014-09-01,126.94
2014-10-01,251.96
2014-11-01,356.11
2014-12-01,252.67
2015-01-01,104.47
2015-02-01,43.63
2015-03-01,239.8
2015-04-01,172.26
2015-05-01,154.78
2015-06-01,150.92
2015-07-01,102.32
2015-08-01,307.52
2015-09-01,79.93
2015-10-01,150.13
2015-11-01,315.21
2015-12-01,272.72
2016-01-01,195.62
2016-02-01,175.46
2016-03-01,89.16
2016-04-01,186.38
2016-05-01,206.06
2016-06-01,194.71
2016-07-01,211.18
2016-08-01,131.28
2016-09-01,181.54
2016-10-01,192.73
2016-11-01,368.19
2016-12-01,204.32
2017-01-01,242.87
2017-02-01,200.92
2017-03-01,259.26
2017-04-01,264.41
2017-05-01,277.13
2017-06-01,208.39
2017-07-01,177.18
2017-08-01,266.36
2017-09-01,263.96
2017-10-01,176.88
2017-11-01,364.1
2017-12-01,217.13
2018-01-01,183.39
2018-02-01,72.91
2018-03-01,176.86
2018-04-01,177.98
2018-05-01,242.26
2018-06-01,246.13
2018-07-01,104.32
2018-08-01,107.79
2018-09-01,137.37
2018-10-01,308.01
2018-11-01,303.3
2018-12-01,312.78
2019-01-01,140.89
2019-02-01,75.69
2019-03-01,118.69
2019-04-01,201.63
2019-05-01,139.59
2019-06-01,322.82
2019-07-01,101.19
2019-08-01,55.13
2019-09-01,78.15
2019-10-01,234.83
2019-11-01,187.98
2019-12-01,220.51
2020-01-01,111.7
2020-02-01,43.75
2020-03-01,90.7
2020-04-01,264.98
2020-05-01,199.29
2020-06-01,232.71
2020-07-01,193.88
2020-08-01,166.9
2020-09-01,248.52
2020-10-01,186.47
2020-11-01,339.77
2020-12-01,175.93
