tgl,KA
2010-01-01,2.64516129
2010-02-01,2.285714286
2010-03-01,2.233333333
2010-04-01,2.966666667
2010-05-01,1.258064516
2010-06-01,2.133333333
2010-07-01,2.5
2010-08-01,2.709677419
2010-09-01,2.333333333
2010-10-01,2.903225806
2010-11-01,2.133333333
2010-12-01,3.387096774
2011-01-01,2.612903226
2011-02-01,1.956521739
2011-03-01,2.258064516
2011-04-01,2.8
2011-05-01,2.322580645
2011-06-01,2.866666667
2011-07-01,3.290322581
2011-08-01,3.225806452
2011-09-01,3.333333333
2011-10-01,2.806451613
2011-11-01,2.9
2011-12-01,2.741935484
2012-01-01,2.870967742
2012-02-01,2.965517241
2012-03-01,3.419354839
2012-04-01,3.133333333
2012-05-01,3.096774194
2012-06-01,3.5
2012-07-01,3.516129032
2012-08-01,3.322580645
2012-09-01,3.2
2012-10-01,3.322580645
2012-11-01,3.133333333
2012-12-01,2.870967742
2013-01-01,3.258064516
2013-02-01,3.25
2013-03-01,2.741935484
2013-04-01,2.8
2013-05-01,2.64516129
2013-06-01,2.766666667
2013-07-01,3.129032258
2013-08-01,3.096774194
2013-09-01,3.3
2013-10-01,3
2013-11-01,2.9
2013-12-01,2.838709677
2014-01-01,3
2014-02-01,3.071428571
2014-03-01,2.580645161
2014-04-01,3.166666667
2014-05-01,3
2014-06-01,3.1
2014-07-01,3
2014-08-01,3.096774194
2014-09-01,3.066666667
2014-10-01,2.935483871
2014-11-01,3.366666667
2014-12-01,3
2015-01-01,0.967741935
2015-02-01,0.678571429
2015-03-01,0.870967742
2015-04-01,1
2015-05-01,0.903225806
2015-06-01,1.1
2015-07-01,1.161290323
2015-08-01,1.161290323
2015-09-01,0.633333333
2015-10-01,0.483870968
2015-11-01,0.620689655
2015-12-01,0.933333333
2016-01-01,0.677419355
2016-02-01,0.782608696
2016-03-01,0.709677419
2016-04-01,0.866666667
2016-05-01,1.096774194
2016-06-01,0.933333333
2016-07-01,1.193548387
2016-08-01,1.032258065
2016-09-01,1.633333333
2016-10-01,1.451612903
2016-11-01,1.166666667
2016-12-01,1.870967742
2017-01-01,1.35483871
2017-02-01,1.5
2017-03-01,1.387096774
2017-04-01,1.206896552
2017-05-01,0.933333333
2017-06-01,1.035714286
2017-07-01,1.64516129
2017-08-01,1.866666667
2017-09-01,1.6
2017-10-01,1.161290323
2017-11-01,1.566666667
2017-12-01,1.387096774
2018-01-01,1.741935484
2018-02-01,1.071428571
2018-03-01,1
2018-04-01,1.333333333
2018-05-01,1.516129032
2018-06-01,1.633333333
2018-07-01,1.677419355
2018-08-01,1.580645161
2018-09-01,1.6
2018-10-01,1.451612903
2018-11-01,1.333333333
2018-12-01,1.580645161
2019-01-01,1.677419355
2019-02-01,1.142857143
2019-03-01,1.419354839
2019-04-01,1.233333333
2019-05-01,1.483870968
2019-06-01,1.6
2019-07-01,1.903225806
2019-08-01,1.741935484
2019-09-01,1.6
2019-10-01,1.419354839
2019-11-01,1.333333333
2019-12-01,1.580645161
2020-01-01,1.483870968
2020-02-01,1.565217391
2020-03-01,1.34375
2020-04-01,1.066666667
2020-05-01,1.419354839
2020-06-01,1.620689655
2020-07-01,1.741935484
2020-08-01,1.870967742
2020-09-01,1.823529412
2020-10-01,1.258064516
2020-11-01,1.266666667
2020-12-01,1.516129032
